K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,
61-616-928-214-488,67-482-402-203-96,25.3325,10.4091,0,34.8572,1,0.8844,,,
104-76-928-82-18,143-436-256-115-553,36.9305,12.0687,0,45.6754,1,3.3238,,,
777-650-239-13-126,362-553-241-22-382,11.3345,13.9824,0,25.0925,1,0.2244,,,
746-43-595-716-818,27-419-433-430-187,11.8214,6.7891,0,18.8788,0,-0.2683,,,
307-104-402-143-266,815-407-27-33-209,6.448,8.7232,0,15.1234,1,0.0478,,,
239-304-523-112-562,28-695-724-183-457,25.5995,14.9995,0,33.3078,1,7.2912,,,
6-179-482-846-145,228-557-543-888-159,33.8178,6.3661,0,40.0687,1,0.1152,,,
483-228-400-316-559,519-289-241-139-558,6.7997,12.3247,0,19.093,1,0.0314,,,
113-493-123-358-8,652-152-913-809-256,29.8064,12.8191,0,38.0874,1,4.5381,,,
18-120-846-16-573,379-11-366-204-648,37.918,9.4908,0,47.4682,0,-0.0594,,,
650-543-58-439-151,203-364-362-543-21,6.4525,22.2034,1.2895,25.7476,1,1.6188,,,
113-209-123-93-611,336-143-30-110-304,17.7184,6.8721,0,24.0837,1,0.5068,,,
603-331-33-58-924,143-950-117-522-818,13.123,11.2977,0,22.4315,1,1.9892,,,
519-116-722-20-522,187-809-145-116-902,6.2195,11.9852,1.2101,17.0435,0,-0.0489,,,
709-20-1-16-28,256-61-236-364-512,171.9647,22.3694,0,176.1555,1,18.1786,,,
665-126-67-221-704,133-404-543-722-93,16.5486,12.0645,0,26.7771,1,1.836,,,
86-601-457-163-200,830-185-106-210-16,6.1017,8.8766,0,14.9216,1,0.0567,,,
221-393-317-16-139,358-11-108-6-566,13.4901,24.4811,0,37.9727,0,-0.0015,,,
266-470-393-555-400,505-108-979-555-210,7.0039,7.3126,1.259,12.9478,1,0.1097,,,
33-186-67-256-251,6-39-553-13-818,12.3913,26.4595,0,37.0203,1,1.8305,,,
319-621-417-73-251,323-266-19-136-6,13.5695,24.4662,0,35.3577,1,2.678,,,
950-221-333-929-904,13-483-101-208-888,22.1686,12.9698,0,31.0168,1,4.1216,,,
950-284-70-233-169,183-7-26-972-2,13.5435,23.1817,0,35.404,1,1.3212,,,
622-233-393-236-593,603-904-489-67-112,7.6346,30.9243,0,38.0793,1,0.4796,,,
555-379-247-759-133,169-96-396-626-55,6.6904,26.8163,0,33.8,0,-0.2933,,,
48-37-210-593-245,382-47-433-136-23,27.1396,15.3697,0,37.9512,1,4.5581,,,
268-192-306-722-439,80-58-192-512-950,11.6645,16.3823,6.2189,21.8211,1,0.0068,,,
73-777-661-59-200,101-818-621-272-830,7.3451,15.1295,0,22.3342,1,0.1404,,,
164-995-316-872-962,333-979-650-251-361,10.1991,20.2473,0,28.2294,1,2.217,,,
746-30-15-396-606,404-603-113-319-316,15.0832,16.1335,0,28.6596,1,2.5571,,,
52-18-846-317-417,995-21-169-126-595,44.3088,24.4796,0,53.9811,1,14.8073,,,
58-372-200-208-553,239-924-22-298-106,7.3041,9.0866,0,16.3164,1,0.0743,,,
872-972-488-221-245,5-43-457-20-716,6.5782,7.273,0,13.7944,1,0.0568,,,
931-928-5-256-300,888-136-523-809-1,7.0688,172.0574,0,177.3661,1,1.7601,,,
746-32-169-7-106,210-928-372-213-319,20.0895,6.584,0,25.7744,1,0.8991,,,
151-747-155-213-152,323-558-181-846-904,12.8373,5.7251,0,18.2733,1,0.2891,,,
493-846-353-333-43,113-528-104-11-256,20.387,12.9737,0,30.2392,1,3.1215,,,
323-493-408-950-37,6-175-283-650-2,11.3133,36.4224,0,43.9592,1,3.7765,,,
247-61-245-927-18,961-93-200-58-1,40.1989,171.6244,0,191.3708,1,20.4525,,,
316-16-164-307-204,611-342-120-283-152,12.1388,13.5288,0,24.8622,1,0.8054,,,
404-76-48-289-136,181-120-183-512-648,26.9369,6.7766,0,34.5192,0,-0.8057,,,
32-73-429-407-47,139-312-316-181-26,15.6855,6.3401,0,21.7635,1,0.2621,,,
179-120-143-901-165,8-928-611-117-709,25.4453,26.749,0,39.7343,1,12.46,,,
170-353-227-336-528,183-200-110-217-342,24.1433,9.8697,0,34.9818,0,-0.9688,,,
929-928-777-543-15,439-139-403-315-294,17.8678,6.823,0,24.2273,1,0.4635,,,
76-724-439-555-635,746-358-830-333-59,11.2712,23.164,0,30.9481,1,3.4871,,,
142-430-928-27-58,396-315-317-413-52,8.2518,12.2047,0,19.1209,1,1.3356,,,
661-342-152-439-520,247-621-626-469-187,15.8828,7.1788,0,22.3409,1,0.7207,,,
497-562-27-43-239,200-913-55-112-904,7.5418,30.501,0,37.3416,1,0.7012,,,
950-404-55-522-470,82-830-364-37-929,23.533,14.6522,0,31.1607,1,7.0245,,,
214-153-307-239-621,358-559-118-366-15,10.6076,17.34,0,28.1221,0,-0.1745,,,
872-611-543-70-559,15-175-210-82-603,6.2232,17.9813,0,24.6115,0,-0.407,,,
170-716-408-353-417,175-108-13-153-136,27.256,11.8193,0,34.7003,1,4.375,,,
207-256-214-815-543,228-203-489-115-338,15.6169,11.602,0,26.1439,1,1.075,,,
300-33-382-143-93,961-931-214-26-18,14.4299,40.7405,0,51.8598,1,3.3106,,,
962-187-298-661-159,185-608-186-995-659,6.2886,5.7054,0,12.0432,0,-0.0492,,,
317-652-117-306-221,96-407-142-746-315,13.4601,7.4624,0,20.9871,0,-0.0646,,,
364-27-180-39-573,96-214-306-366-135,6.416,14.8466,0,21.2237,1,0.0389,,,
650-469-724-208-120,181-110-362-266-298,11.587,6.3129,0,18.0342,0,-0.1343,,,
815-777-606-221-21,557-403-338-148-402,21.3298,7.0449,0,28.0961,1,0.2786,,,
75-133-148-457-117,265-152-950-661-75,24.4415,25.1169,18.8136,31.3611,0,-0.6163,,,
236-179-724-170-58,256-747-135-902-49,29.7414,7.1929,0,37.4835,0,-0.5492,,,
27-488-809-566-7,830-15-665-266-446,6.4499,15.6094,0,21.7784,1,0.2809,,,
528-622-143-228-402,716-11-601-239-300,6.3267,7.3999,0,13.3904,1,0.3362,,,
115-27-469-70-430,115-716-135-214-493,12.3277,16.0509,5.8897,22.4534,1,0.0355,,,
995-336-379-404-39,76-777-192-379-606,7.1565,12.0157,1.2646,18.1871,0,-0.2795,,,
135-18-204-608-27,902-929-43-180-338,37.7823,10.1161,0,44.8873,1,3.0111,,,
16-709-372-179-28,16-304-904-400-183,27.3087,6.8978,2.4936,31.7768,0,-0.0639,,,
366-241-115-117-145,61-26-439-18-928,23.7605,41.1757,0,59.5075,1,5.4287,,,
408-626-488-474-241,200-6-407-58-228,27.5442,24.0762,0,39.4275,1,12.1929,,,
635-204-192-27-306,208-764-18-704-47,12.7329,39.4763,0,47.6292,1,4.58,,,
126-304-142-185-505,58-251-208-186-336,7.5826,7.7594,0,15.2804,1,0.0616,,,
364-497-621-312-396,165-112-181-404-307,6.9614,25.551,0,32.6659,0,-0.1535,,,
101-43-136-5-358,58-962-319-595-722,9.4244,6.1149,0,15.3389,1,0.2004,,,
482-888-266-37-101,659-315-272-650-228,12.6205,8.576,0,20.8941,1,0.3024,,,
558-200-52-364-19,118-123-11-520-228,6.0824,10.0839,0,16.1649,1,0.0014,,,
70-123-364-555-652,179-67-888-402-245,6.9251,28.5159,0,36.398,0,-0.957,,,
972-439-187-221-362,143-353-175-372-665,6.4753,5.9376,0,12.3894,1,0.0235,,,
593-116-49-37-228,543-559-61-135-417,11.0743,26.0207,0,31.916,1,5.179,,,
695-15-557-595-764,522-358-904-28-75,13.1903,24.9655,0,35.196,1,2.9598,,,
846-55-301-207-759,7-59-304-247-163,23.9615,5.9191,0,30.7859,0,-0.9053,,,
48-170-120-815-289,665-372-32-152-13,33.4205,21.035,0,43.2613,1,11.1942,,,
135-266-417-319-11,52-353-180-382-621,14.1692,7.8251,0,21.8933,1,0.101,,,
200-608-364-136-358,316-595-446-5-22,7.1346,8.7851,0,15.8882,1,0.0315,,,
622-104-474-11-421,520-110-148-11-70,24.4061,10.8384,1.8054,33.5336,0,-0.0945,,,
155-809-233-353-175,55-70-393-49-169,7.9718,27.2219,0,36.0698,0,-0.8761,,,
307-2-187-379-233,366-365-809-924-136,23.3174,10.2724,0,33.8914,0,-0.3016,,,
18-152-209-433-902,433-724-221-33-846,39.4254,12.4863,1.3658,45.8414,1,4.7045,,,
457-400-488-306-186,493-187-117-283-8,6.6904,27.5976,0,33.5471,1,0.7409,,,
616-37-204-316-32,902-32-650-519-113,15.9096,18.7489,8.2794,26.145,1,0.2341,,,
217-316-137-153-913,403-566-58-7-169,9.3513,13.358,0,22.3891,1,0.3202,,,
142-648-298-30-117,126-611-210-151-120,7.6136,6.8915,0,14.4782,1,0.0269,,,
247-186-470-396-436,268-106-543-764-142,7.3937,7.703,0,15.0758,1,0.0209,,,
112-396-139-32-364,361-830-118-159-37,28.7858,10.9421,0,35.6044,1,4.1235,,,
902-557-186-888-108,505-48-665-159-135,5.9005,26.051,0,32.1633,0,-0.2118,,,
558-722-439-404-358,76-962-555-27-846,6.4321,7.0944,0,13.5212,1,0.0053,,,
164-558-112-221-186,83-165-601-82-764,26.8514,6.9574,0,33.0183,1,0.7905,,,
19-342-648-22-611,86-995-142-5-265,8.4058,7.9696,0,16.4545,0,-0.0791,,,
284-924-648-113-294,366-413-962-135-493,13.8322,10.5422,0,24.2127,1,0.1617,,,
566-289-266-108-924,488-709-846-115-213,8.7017,10.3991,0,18.7238,1,0.377,,,
652-695-902-400-364,995-20-336-469-113,6.1718,14.1086,0,20.3561,0,-0.0757,,,
566-904-52-101-652,746-210-284-331-972,7.6772,7.1998,0,14.8743,1,0.0027,,,
19-528-86-593-298,289-746-430-553-403,6.1292,9.2902,0,15.3269,1,0.0925,,,
489-106-170-497-402,59-139-143-135-115,24.8649,11.6589,0,33.2665,1,3.2573,,,
403-393-5-407-648,505-32-901-818-716,7.5756,17.7685,0,25.2252,1,0.1189,,,
148-70-593-379-474,80-995-520-207-110,23.6816,18.137,0,38.7936,1,3.025,,,
470-22-331-5-289,148-153-118-35-233,10.0621,8.1776,0,18.091,1,0.1487,,,
142-116-512-120-306,200-170-233-931-333,9.1458,29.416,0,37.0683,1,1.4935,,,
145-846-469-298-429,59-493-76-236-43,11.8309,6.5881,0,18.3206,1,0.0984,,,
15-342-665-695-979,181-20-148-429-566,13.8876,6.1947,0,19.8276,1,0.2547,,,
716-159-872-200-316,902-716-80-901-304,6.0524,10.5847,1.8586,13.9435,1,0.835,,,
759-300-181-113-695,137-283-306-70-366,12.2117,13.1481,0,25.9529,0,-0.5931,,,
379-608-483-558-26,137-413-73-164-446,7.2348,15.7395,0,22.6822,1,0.2921,,,
626-33-294-904-361,21-73-950-601-116,7.5701,22.9564,0,30.069,1,0.4575,,,
818-616-284-209-901,13-208-927-652-2,10.7212,26.1894,0,35.2166,1,1.694,,,
319-315-928-962-59,429-80-19-110-358,5.4068,11.1829,0,16.5509,1,0.0388,,,
123-169-217-818-304,233-294-283-626-601,19.0829,8.0691,0,26.5322,1,0.6198,,,
52-43-652-603-616,294-764-407-33-251,11.0797,7.972,0,19.3924,0,-0.3407,,,
207-366-483-181-104,47-621-408-505-204,14.4684,9.4894,0,24.1785,0,-0.2207,,,
489-289-48-27-135,120-26-408-80-520,29.5077,14.9655,0,42.1558,1,2.3174,,,
186-304-106-256-16,7-80-163-402-336,7.6528,11.4071,0,19.0583,1,0.0016,,,
180-59-15-32-408,522-430-214-413-207,20.0026,15.8005,0,34.6636,1,1.1395,,,
995-595-86-115-137,136-20-251-913-115,12.5134,10.9671,5.4808,18.2196,0,-0.2199,,,
118-928-724-950-268,143-372-115-635-429,10.6285,10.9878,0,20.3167,1,1.2996,,,
26-23-482-241-265,353-170-175-187-846,16.4471,23.6623,0,36.0945,1,4.0149,,,
722-112-872-474-159,635-241-404-505-543,30.0707,10.7634,0,39.7743,1,1.0598,,,
312-7-557-372-298,747-20-8-43-241,6.254,29.8975,0,35.7785,1,0.373,,,
319-43-23-209-163,430-512-830-382-115,12.0618,13.1114,0,23.6325,1,1.5407,,,
192-272-901-436-446,101-626-207-317-505,14.7496,18.5539,0,31.6872,1,1.6163,,,
52-217-145-15-175,407-15-312-23-648,23.02,17.5266,9.3105,32.1573,0,-0.9212,,,
227-18-483-396-553,361-557-112-73-593,36.8246,26.5057,0,50.7335,1,12.5968,,,
170-307-165-76-519,483-695-22-298-204,26.282,8.0051,0,33.7234,1,0.5637,,,
429-809-747-37-404,203-112-523-436-722,10.4757,24.3314,0,32.2744,1,2.5327,,,
396-75-153-117-724,11-872-446-626-143,24.3274,6.6516,0,31.2453,0,-0.2663,,,
192-927-16-101-608,379-113-123-695-557,13.7466,12.7738,0,24.833,1,1.6874,,,
153-55-181-159-606,393-928-35-635-6,22.8396,24.9463,0,35.4631,1,12.3228,,,
488-39-950-358-20,457-924-595-200-566,6.4955,6.2129,0,12.6179,1,0.0905,,,
393-317-365-239-995,379-606-331-553-208,11.8492,6.5991,0,18.43,1,0.0183,,,
846-86-419-716-76,7-323-183-659-338,7.2118,6.0059,0,13.1903,1,0.0274,,,
298-400-323-306-650,210-59-75-112-622,6.8724,30.495,0,36.2204,1,1.147,,,
913-497-170-626-558,217-180-616-23-213,23.3805,14.2647,0,34.4139,1,3.2313,,,
315-520-566-136-336,142-239-929-112-256,10.5459,27.147,0,37.3138,1,0.3791,,,
962-315-126-117-522,75-207-37-402-86,6.2211,25.2834,0,31.3913,1,0.1132,,,
204-626-23-301-995,104-61-152-86-245,11.0847,24.6544,0,32.1934,1,3.5457,,,
635-1-151-245-493,650-266-20-49-661,170.8775,6.9752,0,177.0762,1,0.7765,,,
962-104-316-695-241,603-364-39-927-256,9.4873,10.3327,0,19.7237,1,0.0963,,,
408-151-421-159-436,153-101-764-48-603,8.7319,26.1527,0,34.9454,0,-0.0608,,,
153-139-972-622-404,817-49-110-928-433,5.9503,6.2754,0,12.0452,1,0.1805,,,
8-108-482-331-214,543-366-170-23-35,30.4948,28.6118,0,45.8689,1,13.2377,,,
214-21-93-208-593,419-73-227-28-593,27.0316,12.8701,1.1448,34.5365,1,4.2204,,,
928-163-372-573-19,365-112-489-493-247,6.7245,24.6554,0,31.9248,0,-0.5449,,,
439-319-421-747-115,289-704-652-616-559,11.6038,13.0376,0,23.0589,1,1.5825,,,
489-436-626-979-342,148-106-393-430-372,7.7933,8.2785,0,16.0178,1,0.054,,,
106-400-304-298-209,319-241-112-358-430,6.8648,29.0225,0,34.9078,1,0.9795,,,
379-818-2-323-35,73-413-26-336-23,27.144,15.1228,0,38.2841,1,3.9827,,,
543-764-22-417-59,512-759-764-112-402,13.7242,24.6859,1.1266,34.1689,1,3.1146,,,
611-8-333-402-265,1-70-650-995-817,30.6407,171.7071,0,178.2999,1,24.0479,,,
621-26-489-331-901,429-8-179-716-1,7.5681,172.8187,0,180.0412,1,0.3456,,,
110-661-86-135-407,961-163-300-118-626,7.6439,5.7318,0,13.4067,0,-0.031,,,
1-37-268-400-192,101-888-382-67-247,169.39,13.9159,0,181.0285,1,2.2774,,,
251-1-704-307-217,20-241-747-73-764,172.0594,11.0306,0,181.2919,1,1.7981,,,
830-659-558-489-433,661-104-759-181-304,7.1942,5.7569,0,12.959,0,-0.0079,,,
266-27-148-233-106,759-809-621-366-181,9.7478,9.4076,0,18.8344,1,0.321,,,
143-457-519-557-70,408-704-608-183-419,6.7638,11.6687,0,18.3723,1,0.0602,,,
7-113-709-927-474,520-403-155-86-493,26.0281,10.123,0,35.9365,1,0.2146,,,
268-972-336-746-133,979-227-603-470-20,8.2819,10.3113,0,18.7929,0,-0.1997,,,
208-28-593-236-116,622-306-55-408-93,11.4798,26.3776,0,34.0736,1,3.7838,,,
695-47-622-301-924,430-159-35-61-52,7.6681,21.7142,0,29.3436,1,0.0387,,,
407-927-523-307-457,15-101-96-43-163,5.776,15.2626,0,20.9684,1,0.0702,,,
155-846-55-635-562,23-48-361-169-76,24.9179,29.3944,0,41.2047,1,13.1076,,,
5-61-319-482-650,142-301-7-593-123,21.9717,7.0665,0,28.4818,1,0.5564,,,
457-635-436-913-236,207-304-316-650-266,7.0135,11.1981,0,19.1601,0,-0.9485,,,
284-972-372-962-43,315-126-365-136-120,6.3074,6.8345,0,13.0708,1,0.0711,,,
217-137-19-16-317,650-133-372-123-573,16.3426,6.844,0,23.0896,1,0.097,,,
457-483-186-55-439,505-145-155-929-70,23.8974,18.2933,0,38.9929,1,3.1978,,,
979-317-209-665-186,123-559-106-19-236,11.6505,6.7933,0,18.4767,0,-0.0329,,,
118-83-338-187-289,488-183-145-421-123,7.9358,12.7918,0,20.7342,0,-0.0066,,,
304-931-888-358-207,421-830-96-227-164,12.2757,12.4955,0,23.8555,1,0.9157,,,
913-266-106-962-661,35-815-361-323-233,7.4081,7.3947,0,14.7385,1,0.0643,,,
962-716-626-148-169,353-19-972-488-419,13.9388,5.9709,0,19.5845,1,0.3252,,,
35-488-181-553-48,298-382-165-289-488,25.4108,9.9796,1.0986,33.4496,1,0.8422,,,
227-616-482-430-192,365-21-48-164-312,10.7871,29.0659,0,35.0201,1,4.8329,,,
611-272-528-436-142,137-58-152-558-505,10.0472,16.0727,0,25.1768,1,0.9431,,,
55-251-108-228-210,566-7-659-622-608,24.7093,5.7755,0,29.7074,1,0.7774,,,
482-603-21-809-408,75-924-13-901-142,22.5917,25.6728,0,35.3627,1,12.9018,,,
407-815-365-47-665,28-665-606-108-18,7.4163,38.8459,1.0561,45.043,1,0.1631,,,
152-117-722-962-52,268-601-497-86-35,12.0383,6.0924,0,18.6751,0,-0.5444,,,
67-179-43-49-404,593-175-413-123-67,28.8953,11.4218,6.28,33.3166,1,0.7205,,,
142-61-117-622-16,21-562-716-5-402,25.3581,22.5032,0,36.8205,1,11.0408,,,
245-181-35-213-153,28-315-55-49-557,6.369,25.4083,0,31.3267,1,0.4506,,,
759-317-48-80-366,622-5-365-268-323,36.4794,6.4364,0,42.7226,1,0.1932,,,
419-652-724-913-43,621-361-247-48-400,10.8041,26.1219,0,31.4875,1,5.4385,,,
403-307-558-112-319,67-20-716-93-266,25.4431,17.4894,0,39.0303,1,3.9022,,,
747-35-979-227-652,950-33-209-117-404,6.5367,8.2755,0,14.7869,1,0.0253,,,
429-19-559-13-621,661-611-372-209-268,11.5641,6.9217,0,18.4652,1,0.0206,,,
648-408-603-659-21,213-13-272-96-266,23.2649,13.5905,0,32.7081,1,4.1473,,,
559-566-43-175-221,962-96-8-207-55,5.9954,32.9432,0,38.3312,1,0.6074,,,
73-23-180-101-8,924-336-818-73-566,28.7087,13.7757,2.4381,34.8426,1,5.2037,,,
217-379-18-23-133,522-13-200-37-101,41.5889,15.154,0,49.8301,1,6.9128,,,
61-101-236-323-382,764-27-8-142-120,24.4178,28.4922,0,39.9008,1,13.0092,,,
593-817-469-101-214,108-284-505-362-283,11.6957,7.4619,0,19.087,1,0.0706,,,
228-404-315-652-333,616-528-110-483-962,22.4184,6.0397,0,28.0329,1,0.4252,,,
436-227-73-470-120,153-555-608-143-382,8.5456,7.3971,0,15.8898,1,0.0529,,,
37-55-266-11-353,995-400-266-43-307,25.4713,6.4845,1.8532,30.2112,0,-0.1086,,,
995-661-300-648-175,323-433-153-652-528,6.0566,6.8161,0,12.8636,1,0.0091,,,
170-902-61-80-28,830-75-70-28-364,33.0658,26.27,7.1841,40.0584,1,12.0933,,,
622-316-704-312-304,22-67-245-365-20,10.5754,13.2008,0,23.8288,0,-0.0526,,,
317-695-11-764-6,104-361-289-123-764,29.9638,7.2003,1.1252,36.039,0,-0.0001,,,
208-143-559-457-283,221-13-312-11-408,6.08,12.7136,0,18.6634,1,0.1302,,,
48-284-315-73-13,113-558-747-251-228,26.6254,13.8374,0,36.3391,1,4.1237,,,
457-995-470-901-716,221-118-16-163-152,6.3754,13.6777,0,20.2032,0,-0.1501,,,
298-430-118-704-186,256-39-300-186-272,11.2919,8.0332,1.2314,17.4266,1,0.6671,,,
469-145-457-185-164,815-116-123-928-361,16.6562,6.019,0,22.3178,1,0.3574,,,
221-186-393-16-180,665-611-488-408-402,8.0794,6.4681,0,14.5545,0,-0.007,,,
872-11-170-268-256,118-830-169-236-407,23.6594,13.2972,0,33.8067,1,3.1499,,,
364-113-846-759-902,557-361-396-20-169,12.3287,12.8908,0,24.2754,1,0.9441,,,
110-5-73-32-1,555-289-28-336-759,173.4636,14.695,0,181.1762,1,6.9824,,,
108-962-961-379-265,137-342-123-83-294,5.9393,9.3409,0,15.2027,1,0.0775,,,
