K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,
11-233-28,407-759-204,11.2112,3.4365,0,14.8618,0,-0.2141,,,
35-48-117,961-403-70,23.1308,4.4811,0,27.6188,0,-0.0069,,,
203-209-747,470-164-217,3.9451,11.926,0,15.7188,1,0.1523,,,
482-301-185,86-256-209,3.1625,4.043,0,7.2032,1,0.0023,,,
830-407-126,553-483-950,4.1879,4.7618,0,8.9532,0,-0.0035,,,
929-995-118,358-488-904,7.9701,4.1199,0,12.2674,0,-0.1774,,,
139-333-59,595-59-13,19.2764,8.4725,1.0318,22.2808,1,4.4363,,,
37-317-364,365-695-709,13.2066,3.1838,0,16.2159,1,0.1745,,,
400-32-872,170-142-32,10.1391,25.5605,8.4258,27.8505,0,-0.5767,,,
200-709-417,214-616-126,8.9324,7.1793,0,16.0192,1,0.0925,,,
522-482-245,1-113-272,3.9434,171.8546,0,175.8684,0,-0.0704,,,
404-61-650,37-333-331,20.1591,20.4753,0,26.6824,1,13.952,,,
241-179-143,901-139-236,25.1595,3.7567,0,27.8587,1,1.0575,,,
606-962-183,764-913-153,3.4359,3.5367,0,7.0058,0,-0.0332,,,
7-553-228,543-256-621,5.0656,4.0773,0,9.1307,1,0.0122,,,
187-336-913,2-961-722,5.2308,19.4065,0,24.9873,0,-0.35,,,
929-417-185,929-298-430,12.5895,8.7713,5.8836,15.1285,1,0.3487,,,
116-608-283,421-364-555,4.1985,4.8758,0,9.0686,1,0.0057,,,
76-523-972,562-724-93,4.2339,13.4076,0,16.9888,1,0.6527,,,
716-759-358,228-470-846,4.8611,4.0244,0,8.793,1,0.0925,,,
272-601-135,214-777-616,7.1203,7.3147,0,14.4132,1,0.0218,,,
315-76-408,148-152-950,4.9646,10.1497,0,14.6385,1,0.4758,,,
419-208-268,106-164-342,3.0978,9.8468,0,12.6764,1,0.2682,,,
559-61-294,483-233-304,20.2083,5.0732,0,24.5939,1,0.6876,,,
759-239-58,151-404-429,4.1792,3.4245,0,7.6217,0,-0.018,,,
35-316-333,120-559-214,18.5174,7.8233,0,26.4649,0,-0.1242,,,
