K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,-0.2651
76-49-2,61-67-2,4.3326,4.3552,2.0457,6.5115,1,0.1306,,,
18-61-6,33-37-21,6.2831,6.2236,0,10.7335,1,1.7732,,,
1-15-33,61-76-37,24.8558,3.8842,0,27.8705,1,0.8695,,,
1-61-32,20-37-15,24.0989,4.1791,0,26.4713,1,1.8067,,,
49-37-32,22-33-32,4.6552,4.0684,1.9387,6.8316,0,-0.0467,,,
37-20-21,28-21-8,6.4325,7.2666,4.1633,9.7497,0,-0.2139,,,
61-6-76,49-20-76,5.2509,3.5637,1.0792,7.7332,1,0.0022,,,
2-15-20,67-76-37,4.2603,3.8431,0,7.9457,1,0.1577,,,
21-8-67,18-22-15,6.9958,4.3335,0,11.2401,1,0.0892,,,
18-28-33,8-28-6,4.5169,6.5877,1.5364,9.5596,1,0.0086,,,
8-76-33,33-32-37,3.9517,4.5541,1.0337,7.3517,1,0.1204,,,
28-2-48,33-28-48,5.5267,4.5287,3.5036,6.5515,1,0.0003,,,
93-1-32,2022/8/1,24.1233,24.3188,22.7774,25.6474,1,0.0173,,,
93-49-22,28-93-22,3.3616,3.6774,2.1356,4.8989,1,0.0045,,,
32-22-48,37-2-33,4.9712,4.5841,0,9.2565,1,0.2988,,,
93-61-22,8-33-67,3.3291,3.9856,0,7.3096,1,0.0051,,,
33-37-15,8-20-49,3.9849,4.3099,0,8.2663,1,0.0285,,,
6-20-8,37-18-76,6.1772,4.7007,0,10.3048,1,0.5731,,,
6-2-48,48-32-28,6.7094,5.4386,1.9687,9.617,1,0.5623,,,
67-76-61,2021/8/6,3.3644,7.448,0,10.4004,1,0.412,,,
1-20-32,32-21-48,23.3681,7.2861,1.9299,26.884,1,1.8403,,,
8-37-33,6-20-28,4.5361,5.9864,0,9.8445,1,0.678,,,
18-28-76,18-28-8,4.5687,5.331,3.48,6.4051,1,0.0146,,,
22-48-28,8-33-15,4.6293,4.1473,0,8.755,1,0.0216,,,
37-20-61,93-18-48,4.1477,4.9592,0,9.0077,1,0.0992,,,
32-76-22,18-93-2,4.1289,4.9493,0,8.9193,1,0.1589,,,
48-49-21,15-21-28,7.1611,6.843,4.012,9.9847,1,0.0074,,,
15-20-28,76-18-37,4.0495,4.7694,0,8.7237,1,0.0952,,,
1-32-76,2021/8/28,24.1185,7.2296,0,27.5736,1,3.7745,,,
48-22-1,1-48-18,25.6496,26.5577,24.6178,27.671,0,-0.0815,,,
28-33-1,67-28-93,25.1457,3.6391,1.5423,27.1897,1,0.0528,,,
2-76-21,8-48-61,6.654,5.0508,0,11.3653,1,0.3395,,,
21-48-22,33-67-2,7.0291,4.1832,0,9.873,1,1.3393,,,
61-18-15,28-2-67,4.4312,4.6309,0,9.1361,0,-0.074,,,
15-49-37,15-49-22,4.1736,3.6098,2.5001,5.3414,0,-0.0581,,,
18-28-67,6-22-67,4.5648,5.4479,1.1057,9.0502,0,-0.1432,,,
76-67-49,6-2-61,3.391,5.7242,0,8.9951,1,0.1201,,,
8-32-49,8-48-37,5.0245,5.3943,1.8528,8.2992,1,0.2668,,,
33-61-18,15-6-48,4.1955,6.3781,0,10.5235,1,0.0501,,,
8-49-21,61-33-67,6.9464,3.3487,0,10.2945,1,0.0006,,,
20-15-6,21-33-28,5.8652,6.7152,0,10.6417,1,1.9387,,,
33-76-21,49-21-61,6.1569,6.4928,4.0742,8.3848,1,0.1907,,,
15-22-93,67-2-76,3.3918,4.2131,0,7.6138,0,-0.0089,,,
6-48-20,48-93-33,6.4495,4.0209,1.9627,8.5927,0,-0.085,,,
28-93-2,76-1-33,4.5519,24.8552,0,28.1401,1,1.267,,,
