K_T,SetA,SetB,SetA_r,SetB_r,AandB_r,AorB_r,IsSubmodularity,menos,,,,
15-21-48-67,76-6-21-33,7.61284,7.75241,4.07665,11.26559,1,0.02301,,,,,
8-15-6-93-18,37-61-6-15-21,9.25633,8.99701,4.57593,13.65404,1,0.02338,,,,,
15-37-6,28-15-33,5.7575,3.8394,1.26883,8.30466,1,0.02341,,,,,
15-37-49-21,18-48-49-93,7.64431,6.1865,1.23711,12.57002,1,0.02368,,,,,
20-76-2-28,33-22-28-49,5.59437,4.90675,1.53863,8.93862,1,0.02387,,,,,
21-61-6-49,67-21-8-33,7.82212,7.90878,4.07781,11.62914,1,0.02395,,,,,
61-1-28-76,8-6-32-1,26.17519,24.46211,22.78547,27.82746,1,0.02438,,,,,
61-67-37,2-76-37,3.99238,4.63549,1.70941,6.89381,1,0.02465,,,,,
20-48-76-61,20-2-61-37,5.43294,5.72046,2.44779,8.68084,1,0.02477,,,,,
8-32-49-21,21-93-22-33,8.25766,7.1716,4.07482,11.32942,1,0.02503,,,,,
1948/8/21,18-21-22,7.7396,7.05849,4.07139,10.70033,1,0.02637,,,,,
2-28-32-37-21,61-49-48-21-33,9.47244,9.31986,4.08503,14.68081,1,0.02645,,,,,
61-67-76-48-93,2-76-37-28-18,5.56231,8.10584,1.06864,12.573,1,0.02651,,,,,
20-48-2-93,93-18-37-2,5.97724,6.55316,3.05214,9.45164,1,0.02662,,,,,
2-61-1-8-28,22-1-6-33-76,26.61567,26.81816,22.78886,30.61815,1,0.02682,,,,,
49-20-2-48-28,8-15-20-18-61,7.67768,7.51318,1.23657,13.92722,1,0.02706,,,,,
22-48-67-18-93,76-32-37-18-20,6.38417,7.6631,1.95178,12.06827,1,0.02721,,,,,
33-21-37-6-76,67-49-6-18-48,8.78204,8.70028,3.32013,14.13479,1,0.0274,,,,,
28-49-93-32,93-15-20-18,5.72073,5.48034,1.03204,10.14146,1,0.02757,,,,,
2028/2/15,22-49-33,4.81518,3.3692,0,8.15659,1,0.02778,,,,,
20-21-67,28-67-48,6.33532,3.81565,1.10015,9.02285,1,0.02797,,,,,
15-61-22-32,93-20-28-33,5.48732,4.83794,0,10.29723,1,0.02803,,,,,
32-28-8-6-61,32-61-33-48-67,8.87419,6.43558,3.13113,12.14999,1,0.02865,,,,,
67-93-61,18-28-8,3.34717,5.33798,0,8.65519,1,0.02997,,,,,
37-76-48-93-6,37-33-48-15-93,8.47851,6.98599,4.69961,10.73487,1,0.03002,,,,,
22-28-48-18,33-22-76-32,6.55268,5.13737,1.10039,10.55956,1,0.0301,,,,,
2020/2/15,18-49-67,4.24847,4.28769,0,8.50486,1,0.0313,,,,,
6-49-15-2-61,76-6-93-28-48,8.21291,8.83099,3.32802,13.68398,1,0.0319,,,,,
33-6-8-49-32,49-15-18-6-22,8.54204,8.78043,4.46348,12.82647,1,0.03252,,,,,
76-18-49,67-37-93,4.2529,3.83542,0,8.05577,1,0.03254,,,,,
6-8-49,2-48-6,6.18794,6.76197,3.3215,9.59546,1,0.03295,,,,,
28-20-2-15,93-20-49-33,5.77885,4.537,1.23726,9.04546,1,0.03312,,,,,
49-18-6,49-15-67,6.43162,3.60627,1.23723,8.76647,1,0.03419,,,,,
6-1-49-22-8,6-33-18-76-93,25.55994,8.34164,3.33694,30.52979,1,0.03484,,,,,
93-15-28,1976/8/6,3.83059,6.0324,0,9.82752,1,0.03548,,,,,
48-6-93-15,2-28-76-6,7.5459,7.35936,3.32317,11.54657,1,0.03553,,,,,
32-20-49-2-67,8-15-33-32-93,7.00871,7.06556,1.9459,12.09258,1,0.03579,,,,,
33-28-93-49,28-33-76-2,4.83866,5.6677,2.57008,7.90006,1,0.03622,,,,,
32-61-33-20-2,37-28-32-48-2,6.95068,8.63793,3.77952,11.77234,1,0.03675,,,,,
48-67-33-76-21,6-61-2-48-21,8.42314,10.01763,6.0244,12.37957,1,0.03681,,,,,
2022/8/6,48-67-8,6.14817,4.15073,1.85089,8.41114,1,0.03687,,,,,
49-21-32,15-76-32,6.55197,4.26921,1.94862,8.83564,1,0.03693,,,,,
8-32-20,15-8-49,4.96954,4.35643,1.85138,7.43727,1,0.03732,,,,,
6-20-76-8-61,49-37-6-48-21,8.204,9.80568,3.32619,14.64604,1,0.03745,,,,,
20-28-2-15,18-8-28-93,5.77668,6.37086,1.53817,10.57142,1,0.03795,,,,,
6-28-21,48-93-15,7.21279,4.25912,0,11.43334,1,0.03857,,,,,
8-37-48-20,76-61-48-22,6.69426,5.29564,1.96574,9.98512,1,0.03904,,,,,
33-67-20-48-76,37-67-32-22-20,5.63854,6.86948,2.33774,10.13117,1,0.03911,,,,,
21-2-8-32,28-48-21-18,8.5465,9.49622,4.06841,13.93486,1,0.03946,,,,,
20-93-48-2,48-49-76-15,5.98446,5.53745,1.96488,9.51712,1,0.03991,,,,,
67-61-2,76-33-18,4.36657,4.05114,0,8.37699,1,0.04071,,,,,
18-8-93,37-49-61,4.83277,4.09234,0,8.88348,1,0.04164,,,,,
15-22-76-37,49-93-28-18,5.1248,5.75757,0,10.84063,1,0.04175,,,,,
28-67-61,32-22-8,3.82566,4.85597,0,8.6398,1,0.04183,,,,,
2-15-22-67,93-67-33-49,5.49003,4.40107,1.1003,8.7487,1,0.0421,,,,,
2-20-28-49,18-22-8-33,5.72764,5.93323,0,11.6186,1,0.04226,,,,,
48-28-76-22,8-18-32-2,5.67085,7.49981,0,13.12836,1,0.0423,,,,,
21-18-37-33,67-37-93-20,8.23988,5.04959,1.71394,11.53232,1,0.04321,,,,,
28-93-67-32,67-48-20-22,5.58147,4.63923,1.10072,9.0767,1,0.04328,,,,,
37-61-93,37-18-76,3.92463,4.72355,1.70961,6.89514,1,0.04343,,,,,
76-49-32-21,33-49-21-61,7.58815,7.3811,5.22087,9.70381,1,0.04456,,,,,
33-93-8,2-93-33,3.91333,4.08964,2.06377,5.89462,1,0.04458,,,,,
49-18-32,61-33-76,5.10787,3.26537,0,8.32842,1,0.04483,,,,,
37-18-67,49-93-20,4.75691,3.50617,0,8.21818,1,0.0449,,,,,
18-67-2-93,15-93-28-22,6.11179,4.93096,1.03174,9.96589,1,0.04511,,,,,
8-18-93,67-48-2,4.83384,4.32037,0,9.10904,1,0.04517,,,,,
67-76-48-18,28-20-76-21,5.32295,7.82257,1.06743,12.03284,1,0.04525,,,,,
33-93-8,8-18-1,3.91486,25.18043,1.85039,27.19945,1,0.04546,,,,,
32-28-61-76,61-49-20-33,5.67497,4.71368,1.2173,9.12515,1,0.04621,,,,,
76-67-61,22-20-32,3.33359,4.27046,0,7.55761,1,0.04644,,,,,
33-76-32-28,32-20-18-61,5.57262,6.29205,1.94956,9.86805,1,0.04706,,,,,
76-93-28-48,6-8-76-49,5.6017,7.18252,1.06764,11.66942,1,0.04716,,,,,
93-18-28-2-76,2-61-18-28-67,7.61488,7.82717,5.51041,9.88435,1,0.04729,,,,,
